objectid,parentid,title,display_template,type,format,object_location,image_small,image_thumb,creator,recipient,publisher,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,item_information,language,rights,rightsstatement,image_alt_text,object_transcript,related_publication
cbd0015,cbd0014,memorial card front,image,Image;StillImage,image/jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_01.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_01.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_01.jpeg,,,,,,,,,,,,Front,,,,,,,
cbd0016,cbd0014,memorial card back,image,Image;StillImage,image/jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_02.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_02.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/darcy_celebration_of_life_02.jpeg,,,,,,,,,,,,Back,,,,,,,
cbd0017,,Bishop Clement,image,Image;StillImage,image/jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/Beloved_Disciple_Slides_0108.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/Beloved_Disciple_Slides_0108.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/Beloved_Disciple_Slides_0108.jpg,,,,1975,yes,Photograph of Biship Robert Mary Clement,Gay Liberation Movement; New York (N.Y.); New York (State); Robert Clement; John Darcy Noble; Church of the Beloved Disciple; queer sacramentality,"Church of the Holy Apostles, New York, NY",40.758228,-73.992752,"CBD, Box 5, 35mm slides",Beloved_Disciple_Slides_0108.jpg,single-image; 35mm slide,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by FisherLab, Loyola Marymount University. For quesitons or permissions email archive@Beloved-Disciple.com",In Copyright - Educational Use Permitted | Rights Statements,,,
cbd_001,,Jet Magazine coverage of the Church of the Beloved Disciple's first widely publicized Holy Union ceremony,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_001.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_001.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_001.jpeg,,,,1971-05-13,,"Published on May 13, 1971, this Jet magazine article brought national attention to the Church of the Beloved Disciple and its pioneering ministry to LGBTQ Christians. The feature reported on the Holy Union of Joan B. Kearse and Bobbi Jean Sanchez, a ceremony originally celebrated by Fr. Robert M. Clement in July 1970 at the Church of the Holy Apostles, an Episcopal parish on West 28th Street in Manhattan's Chelsea neighborhood where the church was renting space for its services. Attended by nearly 300 people, the service became one of the earliest same-sex Christian union ceremonies in NYC to receive widespread media coverage. The article introduced a broad audience to Clement's ministry and the Church of the Beloved Disciple as a pioneering religious community affirming same-sex relationships.",,,,,,CBD_001,,,,,,,
cbd_002,,New York Post coverage of the Church of the Beloved Disciple's Holy Union ceremonies,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_002.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_002.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_002.jpeg,,,,1971-04-14,,"As public attention to the Church of the Beloved Disciple's pioneering Holy Union ceremonies grew following the first public cememony in July 1970, the New York Post reported that Fr. Robert M. Clement intentionally described the rites as Holy Unions rather than marriages, acknowledging that New York law did not recognize same-sex marriage. The article explained that the ceremonies closely followed the structure of a traditional Christian wedding while distinguishing them from civil marriage. It also documented the legal controversy surrounding the services, including threats of prosecution by New York City officials, highlighting the growing tension between religious innovation, LGBTQ rights, and the law.",,,,,,CBD_002,,,,,,,
cbd_003,,National Recognition in Catholic World,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_003.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_003.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_003.jpg,,,,1971-06 ,,"The June 1971 issue of Catholic World featured Robert M. Clement on its cover carrying the sign, ""Gay People, This Is Your Church,"" during New York's second Christopher Street Liberation Day March. Published less than two years after the Stonewall uprising, the image brought national attention to Clement's emerging ministry and to one of the first openly LGBTQ-affirming Catholic congregations in the United States. The cover illustrates how the Church of the Beloved Disciple quickly became a visible symbol of the growing movement to reconcile Christian faith with LGBTQ identity.",,,,,,CBD_003,,,,,,,
link_01,,Interview with Randy Wicker,video,"movingImage; Image, Sound",YouTube Video,https://www.youtube.com/watch?v=Z7NU8B1EGnU,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/wicker thumbnail.png,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/wicker thumbnail.png,,,,1971-06-04,,,,,,,,LINK_01,,,,,,"Transcript: timestamp 1:04-2:53 [edited for clarity]: 
Wicker: Hi I'm Randy Wicker, today we're talking to Father Robert Clement of the Church of the Beloved Disciple. Father Clement, what type of church is the Church of the Beloved Disciple? 
Clement: Like all churches, it's basically first a church for everyone, but our congregation is primarily gay, I'd say 90%.
Wicker: See now I understand that some of the services you perform, namely the service of Holy Union came under a great deal of criticism and attack recently.
Clement: Well it caused some consternation, surprisingly to us because this is a church rite in the sense of, I mean a church ceremony that's natural and logical outgrowth of our own people, our community that we serve. People are in love and they have a right to the expression of this love and the church acknowledging it is a beautiful thing.
Wicker: Well is this a gay marriage?
Clement: No, we don't use the term marriage because that implies a legal concept and a marriage certificate and Bureau of Vital Statistics and we are interested in a church concept which is spiritual. People pledging their love together in the eyes of God and asking the blessing of God and that's what we're all about. But this was misinterpreted and when publicity came out in the New York Post, the article said about gay marriages which is not our concept, but I understand how it caused this confusion. Then the city clerk got into it and started saying we were performing illegal marriages and so on, which was rather far from our minds, but did get into some confusion. Of course we believe this is something that is valuable for all mankind to affirm their love and especially for gay people in in our community
Wicker: Okay thank you Reverend Clement and now we’re going to go to the GAA Firehouse pick up with the GAA people and continue to the marriage bureau where I understand an engagement party is due to be held this is Randy Wicker.",
link_02,,Gay Activist alliance ZAP,item,"Image;StillImage, Text",web page,https://www.nyclgbtsites.org/site/gay-activists-alliance-zap-at-the-nyc-marriage-bureau/,,,,,,1971-06-04,,"General information about the Gay activist alliance ZAP with links to Youtube videos. New York’s City Clerk Herman Katz became incensed over the publicity of a same-sex “illegal marriage” being officiate by Clement in April 1971. Katz threatened legal action against Clement for performing what he called mock marriages. In response, the Gay Activists Alliance held one of its most famous and creative zaps, an engagement party for two same-sex couples, complete with wedding cake, on June 4, 1971, at the Marriage Bureau in the Municipal Building.",,,,,,LINK_02,,,,,,,
cbd_004,,"Holy Union ceremony celebrated by Fr. Robert Mary Clement, early 1970s",image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_004.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_004.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_004.jpeg,,,,1970s,,"This photograph captures one of the Church of the Beloved Disciple's Holy Union ceremonies, officiated by Fr. Robert Mary Clement before a large congregation at an unidentified location. Following a liturgy modeled closely on the Christian marriage rite, the couple exchanged vows and rings as the community gathered to witness and bless their covenant. Throughout the 1970s, these public ceremonies offered LGBTQ couples a sacramental affirmation of their relationships decades before civil marriage equality became a reality in the United States.",,,,,,CBD_004,,,,,,,
cbd_005,,Service of Holy Union for John and Israel,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_005.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_005.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_005.jpeg,,,,1976-11-21,,"Fr. John Darcy Noble officiates the Holy Union of John C. Fout and Israel at the Church of the Beloved Disciple, 348 West 14th Street, New York City. By the mid-1970s, the Church's Holy Union liturgy had become a well-established sacramental rite through which same-sex couples celebrated their love for one another.",,,,,,CBD_005,,,,,,,
cbd_006,,The Kiss of Peace following the Holy Union ceremony,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_006.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_006.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_006.jpeg,,,,1976-11-21,,"After exchanging vows and rings, John C. Fout and Israel seal their covenant with a kiss as Fr. John Darcy Noble and assisting clergy look on. The public blessing of same-sex couples formed the heart of the Church of the Beloved Disciple's ministry, offering LGBTQ Christians a sacramental affirmation of their relationships nearly four decades before marriage equality became the law of the United States.",,,,,,CBD_006,,,,,,,
cbd_007,,Celebration following a Holy Union ceremony at the Church of the Beloved Disciple,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_007.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_007.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_007.jpeg,,,,1970s,,"After the liturgy, a newly united couple shares wine and cake at the reception celebrating their Holy Union. Such gatherings were an integral part of the Church of the Beloved Disciple's ministry, affirming same-sex relationships not only through sacramental rites but also through the communal rituals of hospitality, fellowship, and joyful celebration that traditionally followed Christian weddings.",,,,,,CBD_007,,,,,,,
cbd_008,,Holy Union of Archbishop Robert Mary Clement and Fr. John Darcy Noble,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_008.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_008.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_008.jpeg,,,,1971-05-13,,"Pastor Troy Perry, founder of the Metropolitan Community Church, officiates the Holy Union of Robert Mary Clement and John Darcy Noble at the Performing Garage, 33 Wooster Street in Manhattan's SoHo district. The ceremony was relocated after Fr. Robert Weeks, rector of the Church of the Holy Apostles in Chelsea, refused to allow the service to be held at Holy Apostles because of concerns over the anticipated media attention.",,,,,,CBD_008,,,,,,,
cbd_009,,"Perry, Clement, and Noble celebrating",image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_009.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_009.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_009.jpeg,,,,1971-05-13,,"Pastor Troy Perry, Father Robert Mary Clement, and John Darcy Noble outside the Performing Garage following the Holy Union ceremony. Standing beneath the entrance to 33 Wooster Street in Manhattan's SoHo neighborhood, Troy Perry (center), founder of the Metropolitan Community Church, celebrates with Robert Mary Clement (left) and John Darcy Noble (right) after officiating their Holy Union. Although the Metropolitan Community Church and the Church of the Beloved Disciple were sometimes viewed as competing ministries within the emerging LGBTQ Christian movement, Perry and Clement maintained a warm personal friendship and shared a commitment to providing spiritual community for lesbian and gay Christians during the formative years of the gay liberation movement.",,,,,,CBD_009,,,,,,,
cbd_010,,Restored Portrait of Fr. Robert Mary Clement,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_010.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_010.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_010.jpeg,,,,circa 1948,,"This digitally restored photograph depicts the Rev. Robert Mary Clement before the founding of the Church of the Beloved Disciple. At the time, Clement was serving as a parish priest of the Polish National Catholic Church in Perth Amboy, New Jersey. In 1968 he founded the American Orthodox Church of the United States (Western Orthodox). In 1970, he established the Church of the Beloved Disciple parish as the first sacramental church in New York City established specifically to minister openly to gay and lesbian Christians. Clement's ministry would become a pioneering force in the movement for LGBTQ inclusion within historic Christian sacramental traditions.",,,,,,CBD_010,,,,,,,
link_03,,LGBTQ-RAN Profile on Robert Mary Clement,item,"Image;StillImage, Text",image,https://lgbtqreligiousarchives.org/profiles/robert-mary-clement,https://lgbtqreligiousarchives.org/profiles/robert-mary-clement,https://lgbtqreligiousarchives.org/profiles/robert-mary-clement,,,,,,needs to be edited,,,,,,LINK_03,,,,,,,
cbd_011,,Certificate of Priestly Ordination of Robert Mary Clement,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_011.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_011.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_011.jpeg,,,,1948-08-07,,"This document certifies the ordination of Robert Mary Clement to the sacred order of the priesthood on 7 August 1948. Written in Latin, the certificate was issued under the authority of Bishop William H. F. Brothers, Archbishop of the Old Catholic Church in North America. The text attests that Clement was examined, found qualified according to ecclesiastical requirements, and promoted to the priesthood ad titulum missionis (for missionary service). The certificate was issued at Woodstock, New York, on 8 August 1948 and bears the signatures of the ordaining prelate and ecclesiastical officials together with an embossed church seal. The document provides primary evidence of Clement's clerical status, ordination date, ordaining jurisdiction, and apostolic lineage within the independent Catholic movement in mid-twentieth-century North America.",,,,,,CBD_011,,,,,,,
cbd_012,,American Orthodox Church of the United States (Western Orthodox) Articles of Incorporation 1969,pdf,"Image;StillImage, Text",pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_012.pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_012.pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_012.pdf,,,,1969-03-12,,"This Certificate of Incorporation, executed on March 12, 1969, formally established the American Orthodox Church of the United States (Western Orthodox) as a religious corporation under New York law and named Robert Mary Clement as its presiding officer. The document outlines the church's mission, governance, and authority to organize dioceses, ordained clergy, consecrate bishops, and establish churches and charitable institutions throughout the United States.",,,,,,CBD_012,,,,,,,
cbd_013,,Parade flyer for the first NYC Pride Parade,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_013.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_013.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_013.jpeg,,,,1970-06-28,,"Flyer for the first NYC Pride Parade, then called the Christopher Street Liberation Day March, held in New York, New York, on June 28, 1970, to commemorate the first anniversary of the Stonewall Riots.  ",,,,,,CBD_013,,,,,,,
cbd_014,,"""Gay People, This Is Your Church""",image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_014.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_014.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_014.jpeg,,,,1970-06-28,,"Robert M. Clement and John Darcy Noble stand in Sheep Meadow following the first Christopher Street Liberation Day March on June 28, 1970, beneath a hand-painted sign proclaiming, ""Gay People, This Is Your Church."" Earlier that day, Clement carried this sign in the march while Noble distributed leaflets announcing their forthcoming inaugural public Mass. Created less than one year after the Stonewall uprising, the sign publicly proclaimed the emergence of an affirming sacramental ministry for lesbian and gay people that would soon develop into the Church of the Beloved Disciple. This restored photograph preserves one of the earliest surviving public images of Clement and Noble's ministry and documents a pioneering declaration that LGBTQ Christians could participate fully in the sacramental life of the Church without concealing their identities.",,,,,,CBD_014,,,,,,,
link_04,,NYC Pride March,item,"Image;StillImage, Text",web page,https://www.nyclgbtsites.org/site/starting-point-of-nycs-first-pride-march/,https://www.nyclgbtsites.org/site/starting-point-of-nycs-first-pride-march/,https://www.nyclgbtsites.org/site/starting-point-of-nycs-first-pride-march/,,,,,,Information from the NYC LGBTQ Historic Sites Project,,,,,,LINK_04,,,,,,,
cbd_015,,Clement celebrating first public mass in New York City 1,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_015.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_015.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_015.jpg,,,,1970-07-19,,"On July 19, 1970, Father Robert M. Clement celebrated the first public Mass of the newly founded Church of the Beloved Disciple at the Church of the Holy Apostles in Manhattan. Attended by more than 500 people, the liturgy offered an unprecedented public expression of sacramental worship affirming the spiritual lives of LGBTQ people and marked a watershed in the history of queer Christianity. The service attracted national media attention and established the Church of the Beloved Disciple as one of the earliest LGBTQ-affirming sacramental communities in the United States.",,,,,,CBD_015,,,,,,,
cbd_016,,St. John the Beloved at the Stonewall Inn during the 1973 New York City Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_016.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_016.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_016.jpg,,,,1973-06-24,,"Archbishop Robert Mary Clement stands outside the Stonewall Inn on Christopher Street with members of the Church of the Beloved Disciple carrying a processional banner depicting St. John the Beloved during the Fourth Annual Christopher Street Liberation Day March and Rally on June 24, 1973.",,,,,,CBD_016,,,,,,,
cbd_017,,Church of the Beloved Disciple at the 1973 New York City Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_017.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_017.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_017.jpg,,,,1973-06-24,,"Archbishop Robert Mary Clement leads members of the Church of the Beloved Disciple during the Fourth Annual Christopher Street Liberation Day March and Rally on June 24, 1973. Flanking the processional banner of St. John the Beloved are Fr. John (left) and Fr. Leo (right), who carry the banner through the streets of Manhattan. Clothed in liturgical vestments, the congregation offered a striking public witness that LGBTQ people belonged fully within the sacramental life of the Church.",,,,,,CBD_017,,,,,,,
